,PC_0,PC_1,PC_2,PC_3,PC_4
BALANCE,0.1484131793554279,0.3679942089514722,-0.07828214208637842,-0.13509474026629067,-0.14967137603047495
BALANCE_FREQUENCY,0.018485504364885066,0.26967410953795723,-0.15900469552969018,-0.15043458068806687,-0.1713156826043388
PURCHASES,-0.3018636465215459,0.17348002456946474,0.039215278557945966,-0.07132177413130203,0.16307906602131725
ONEOFF_PURCHASES,-0.15980095656665116,0.2656468234876166,0.3599414860580467,-0.09092649039824005,0.0877160257893202
INSTALLMENTS_PURCHASES,-0.25808302120683635,0.09090527922410549,-0.33659074428800556,0.10666249502061152,0.025230522356309074
CASH_ADVANCE,0.2694460780174038,0.18543800050997597,-0.05475022426807007,0.19557619293683845,0.2219212223715875
PURCHASES_FREQUENCY,-0.2914455881801307,0.14748412553801737,-0.16998148760288023,0.013375824661770393,0.11651118897746494
ONEOFF_PURCHASES_FREQUENCY,-0.161527143949475,0.25490179861467493,0.28087429222634486,-0.011082062195303808,0.02370379925640675
PURCHASES_INSTALLMENTS_FREQUENCY,-0.2444055390146728,0.08440270036332376,-0.35642952770351544,0.084237176131466,0.04481313616355155
CASH_ADVANCE_FREQUENCY,0.23907112150923168,0.20053463124869142,-0.0613743026729443,0.1884980254989067,0.2927295916970727
CASH_ADVANCE_TRX,0.25364486065485814,0.20555474651193767,-0.06542094681152663,0.1890139268176237,0.2673320940657261
PURCHASES_TRX,-0.2957351002952467,0.20054278400536085,-0.08221088023453975,-0.0026173407047369924,0.08595248923912777
CREDIT_LIMIT,-0.023474569390340504,0.212336204746643,0.10871872081055116,0.2247822560494931,-0.22797223533875038
PAYMENTS,-0.0236600240982665,0.30310144599090355,0.06438370524242759,0.3493541231246313,-0.26612757392393244
MINIMUM_PAYMENTS,0.13210954971842026,0.3166954918815038,-0.15908852260460662,-0.20663393010877348,-0.15477932235706773
PRC_FULL_PAYMENT,-0.1587442567055472,-0.10165829364165384,0.03734274490361611,0.3448655328549192,-0.019729036228161516
TENURE,-0.04192877585413687,0.07688195353755102,0.0010626752327782924,-0.009120931102342987,-0.5895609828172865
MONTHLY_AVG_PURCHASE,-0.2928101796059492,0.20770598424573772,0.04356650107110163,-0.025271409988821218,0.14015181819031575
MONTHLY_CASH_ADVANCE,0.26346773714692584,0.19210177051387503,-0.05489458851445597,0.21401542588321998,0.24477267803469266
LIMIT_USAGE,0.18245895123342673,0.23561826252128942,-0.1598370541136407,-0.30198387280706773,-0.052446692953321515
PAYMENT_MINPAY,-0.12322036840754144,0.0012170367013155767,0.19635001677806468,0.5091914887893082,-0.10572269481183103
PURCHASE_TYPE__Installment_Purchases,-0.11061653635973204,-0.18868329918988958,-0.39298681308625383,0.007415680138399422,0.09031038737939033
PURCHASE_TYPE__None,0.2837947919770215,-0.08318552037938286,-0.03321628380833078,0.15294959341790243,-0.23356161088800456
PURCHASE_TYPE__One_Of,0.01120551607638123,0.020615316393990425,0.4520475125570956,-0.25065278899439086,0.18019629318924166
